interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,demand
2026-06-03T07:30:00-05:00,2026-06-03 12:30:00+00:00,2026-06-03T07:45:00-05:00,2026-06-03 12:45:00+00:00,51898.4284
2026-06-03T07:45:00-05:00,2026-06-03 12:45:00+00:00,2026-06-03T08:00:00-05:00,2026-06-03 13:00:00+00:00,52546.1107
2026-06-03T08:00:00-05:00,2026-06-03 13:00:00+00:00,2026-06-03T08:15:00-05:00,2026-06-03 13:15:00+00:00,53350.7018
2026-06-03T08:15:00-05:00,2026-06-03 13:15:00+00:00,2026-06-03T08:30:00-05:00,2026-06-03 13:30:00+00:00,53980.9948
2026-06-03T08:30:00-05:00,2026-06-03 13:30:00+00:00,2026-06-03T08:45:00-05:00,2026-06-03 13:45:00+00:00,54487.5313
2026-06-03T08:45:00-05:00,2026-06-03 13:45:00+00:00,2026-06-03T09:00:00-05:00,2026-06-03 14:00:00+00:00,55186.599
2026-06-03T09:00:00-05:00,2026-06-03 14:00:00+00:00,2026-06-03T09:15:00-05:00,2026-06-03 14:15:00+00:00,55907.9401
2026-06-03T09:15:00-05:00,2026-06-03 14:15:00+00:00,2026-06-03T09:30:00-05:00,2026-06-03 14:30:00+00:00,56401.8021
2026-06-03T09:30:00-05:00,2026-06-03 14:30:00+00:00,2026-06-03T09:45:00-05:00,2026-06-03 14:45:00+00:00,57174.4492
2026-06-03T09:45:00-05:00,2026-06-03 14:45:00+00:00,2026-06-03T10:00:00-05:00,2026-06-03 15:00:00+00:00,58039.8438
2026-06-03T10:00:00-05:00,2026-06-03 15:00:00+00:00,2026-06-03T10:15:00-05:00,2026-06-03 15:15:00+00:00,58869.4831
2026-06-03T10:15:00-05:00,2026-06-03 15:15:00+00:00,2026-06-03T10:30:00-05:00,2026-06-03 15:30:00+00:00,59801.6745
2026-06-03T10:30:00-05:00,2026-06-03 15:30:00+00:00,2026-06-03T10:45:00-05:00,2026-06-03 15:45:00+00:00,60772.7747
2026-06-03T10:45:00-05:00,2026-06-03 15:45:00+00:00,2026-06-03T11:00:00-05:00,2026-06-03 16:00:00+00:00,61645.5768
2026-06-03T11:00:00-05:00,2026-06-03 16:00:00+00:00,2026-06-03T11:15:00-05:00,2026-06-03 16:15:00+00:00,62350.4128
2026-06-03T11:15:00-05:00,2026-06-03 16:15:00+00:00,2026-06-03T11:30:00-05:00,2026-06-03 16:30:00+00:00,63356.0039
2026-06-03T11:30:00-05:00,2026-06-03 16:30:00+00:00,2026-06-03T11:45:00-05:00,2026-06-03 16:45:00+00:00,64349.1992
2026-06-03T11:45:00-05:00,2026-06-03 16:45:00+00:00,2026-06-03T12:00:00-05:00,2026-06-03 17:00:00+00:00,64958.8581
2026-06-03T12:00:00-05:00,2026-06-03 17:00:00+00:00,2026-06-03T12:15:00-05:00,2026-06-03 17:15:00+00:00,65737.2734
2026-06-03T12:15:00-05:00,2026-06-03 17:15:00+00:00,2026-06-03T12:30:00-05:00,2026-06-03 17:30:00+00:00,66524.9896
2026-06-03T12:30:00-05:00,2026-06-03 17:30:00+00:00,2026-06-03T12:45:00-05:00,2026-06-03 17:45:00+00:00,67239.3464
2026-06-03T12:45:00-05:00,2026-06-03 17:45:00+00:00,2026-06-03T13:00:00-05:00,2026-06-03 18:00:00+00:00,67359.888
2026-06-03T13:00:00-05:00,2026-06-03 18:00:00+00:00,2026-06-03T13:15:00-05:00,2026-06-03 18:15:00+00:00,67815.7656
2026-06-03T13:15:00-05:00,2026-06-03 18:15:00+00:00,2026-06-03T13:30:00-05:00,2026-06-03 18:30:00+00:00,68261.2552
2026-06-03T13:30:00-05:00,2026-06-03 18:30:00+00:00,2026-06-03T13:45:00-05:00,2026-06-03 18:45:00+00:00,68917.8307
2026-06-03T13:45:00-05:00,2026-06-03 18:45:00+00:00,2026-06-03T14:00:00-05:00,2026-06-03 19:00:00+00:00,69205.2109
2026-06-03T14:00:00-05:00,2026-06-03 19:00:00+00:00,2026-06-03T14:15:00-05:00,2026-06-03 19:15:00+00:00,69428.1042
2026-06-03T14:15:00-05:00,2026-06-03 19:15:00+00:00,2026-06-03T14:30:00-05:00,2026-06-03 19:30:00+00:00,69687.3646
2026-06-03T14:30:00-05:00,2026-06-03 19:30:00+00:00,2026-06-03T14:45:00-05:00,2026-06-03 19:45:00+00:00,69842.7188
2026-06-03T14:45:00-05:00,2026-06-03 19:45:00+00:00,2026-06-03T15:00:00-05:00,2026-06-03 20:00:00+00:00,70065.8281
2026-06-03T15:00:00-05:00,2026-06-03 20:00:00+00:00,2026-06-03T15:15:00-05:00,2026-06-03 20:15:00+00:00,70164.5313
2026-06-03T15:15:00-05:00,2026-06-03 20:15:00+00:00,2026-06-03T15:30:00-05:00,2026-06-03 20:30:00+00:00,70246.849
2026-06-03T15:30:00-05:00,2026-06-03 20:30:00+00:00,2026-06-03T15:45:00-05:00,2026-06-03 20:45:00+00:00,70590.9792
2026-06-03T15:45:00-05:00,2026-06-03 20:45:00+00:00,2026-06-03T16:00:00-05:00,2026-06-03 21:00:00+00:00,70803.1172
2026-06-03T16:00:00-05:00,2026-06-03 21:00:00+00:00,2026-06-03T16:15:00-05:00,2026-06-03 21:15:00+00:00,70985.3698
2026-06-03T16:15:00-05:00,2026-06-03 21:15:00+00:00,2026-06-03T16:30:00-05:00,2026-06-03 21:30:00+00:00,71263.4948
2026-06-03T16:30:00-05:00,2026-06-03 21:30:00+00:00,2026-06-03T16:45:00-05:00,2026-06-03 21:45:00+00:00,71033.5417
2026-06-03T16:45:00-05:00,2026-06-03 21:45:00+00:00,2026-06-03T17:00:00-05:00,2026-06-03 22:00:00+00:00,70852.1979
2026-06-03T17:00:00-05:00,2026-06-03 22:00:00+00:00,2026-06-03T17:15:00-05:00,2026-06-03 22:15:00+00:00,70771.6771
2026-06-03T17:15:00-05:00,2026-06-03 22:15:00+00:00,2026-06-03T17:30:00-05:00,2026-06-03 22:30:00+00:00,70863.6198
2026-06-03T17:30:00-05:00,2026-06-03 22:30:00+00:00,2026-06-03T17:45:00-05:00,2026-06-03 22:45:00+00:00,70632.651
2026-06-03T17:45:00-05:00,2026-06-03 22:45:00+00:00,2026-06-03T18:00:00-05:00,2026-06-03 23:00:00+00:00,70530.9141
2026-06-03T18:00:00-05:00,2026-06-03 23:00:00+00:00,2026-06-03T18:15:00-05:00,2026-06-03 23:15:00+00:00,70384.0755
2026-06-03T18:15:00-05:00,2026-06-03 23:15:00+00:00,2026-06-03T18:30:00-05:00,2026-06-03 23:30:00+00:00,70369.5391
2026-06-03T18:30:00-05:00,2026-06-03 23:30:00+00:00,2026-06-03T18:45:00-05:00,2026-06-03 23:45:00+00:00,69771.6641
2026-06-03T18:45:00-05:00,2026-06-03 23:45:00+00:00,2026-06-03T19:00:00-05:00,2026-06-04 00:00:00+00:00,69231.4844
2026-06-03T19:00:00-05:00,2026-06-04 00:00:00+00:00,2026-06-03T19:15:00-05:00,2026-06-04 00:15:00+00:00,68555.3698
2026-06-03T19:15:00-05:00,2026-06-04 00:15:00+00:00,2026-06-03T19:30:00-05:00,2026-06-04 00:30:00+00:00,68264.0417
2026-06-03T19:30:00-05:00,2026-06-04 00:30:00+00:00,2026-06-03T19:45:00-05:00,2026-06-04 00:45:00+00:00,67431.4063
2026-06-03T19:45:00-05:00,2026-06-04 00:45:00+00:00,2026-06-03T20:00:00-05:00,2026-06-04 01:00:00+00:00,66735.9531
2026-06-03T20:00:00-05:00,2026-06-04 01:00:00+00:00,2026-06-03T20:15:00-05:00,2026-06-04 01:15:00+00:00,65985.3073
2026-06-03T20:15:00-05:00,2026-06-04 01:15:00+00:00,2026-06-03T20:30:00-05:00,2026-06-04 01:30:00+00:00,65567.0456
2026-06-03T20:30:00-05:00,2026-06-04 01:30:00+00:00,2026-06-03T20:45:00-05:00,2026-06-04 01:45:00+00:00,65552.3659
2026-06-03T20:45:00-05:00,2026-06-04 01:45:00+00:00,2026-06-03T21:00:00-05:00,2026-06-04 02:00:00+00:00,65281.4466
2026-06-03T21:00:00-05:00,2026-06-04 02:00:00+00:00,2026-06-03T21:15:00-05:00,2026-06-04 02:15:00+00:00,64841.3529
2026-06-03T21:15:00-05:00,2026-06-04 02:15:00+00:00,2026-06-03T21:30:00-05:00,2026-06-04 02:30:00+00:00,64076.4258
2026-06-03T21:30:00-05:00,2026-06-04 02:30:00+00:00,2026-06-03T21:45:00-05:00,2026-06-04 02:45:00+00:00,63437.8346
2026-06-03T21:45:00-05:00,2026-06-04 02:45:00+00:00,2026-06-03T22:00:00-05:00,2026-06-04 03:00:00+00:00,62668.832
2026-06-03T22:00:00-05:00,2026-06-04 03:00:00+00:00,2026-06-03T22:15:00-05:00,2026-06-04 03:15:00+00:00,61815.349
2026-06-03T22:15:00-05:00,2026-06-04 03:15:00+00:00,2026-06-03T22:30:00-05:00,2026-06-04 03:30:00+00:00,60989.0586
2026-06-03T22:30:00-05:00,2026-06-04 03:30:00+00:00,2026-06-03T22:45:00-05:00,2026-06-04 03:45:00+00:00,60353.7917
